Ranking,First Name,Last Name,Sex,DOB,Race,Famous,Link,Title,Year,Duration,Transcript
1,Richard,Pryor,Male,"December 1, 1940",Black,1,https://www.youtube.com/watch?v=Bdeym7xv_V4,Richard Pryor Live And Smokin' (1971) FULL LENGTH,1971,0:45:33,https://scrapsfromtheloft.com/2017/09/10/richard-pryor-live-and-smokin-1971-full-transcript/
1,Richard,Pryor,Male,"December 1, 1940",Black,1,https://www.youtube.com/watch?v=S1AgzW8zQa0,Richard Pryor | Classic Stand Up Comedy Show on NBC 1977,1977,0:37:21,
1,Richard,Pryor,Male,"December 1, 1940",Black,1,https://www.youtube.com/watch?v=-u5mwcMgh0Q,Richard Pryor Live on the Sunset Stip,1982,0:41:35,https://scrapsfromtheloft.com/2017/04/26/richard-pryor-live-sunset-strip-1982-full-transcript/
1,Richard,Pryor,Male,"December 1, 1940",Black,1,https://www.youtube.com/watch?v=EbWwR7p_Pk8,Richard Pryor - Live in Concert,1978,1:12:36,https://scrapsfromtheloft.com/2017/04/27/richard-pryor-live-concert-1979-full-transcript/
2,George,Carlin,Male,,White,1,https://www.youtube.com/watch?v=J6-r7GNlZvk,GC - It's Bad for Ya,2008,1:06:34,https://scrapsfromtheloft.com/2016/11/10/george-carlin-its-bad-for-ya/
2,George,Carlin,Male,,White,1,https://www.youtube.com/watch?v=9-JCSbepXK4,George Carlin - All my stuff,1976,1:27:03,
2,George,Carlin,Male,,White,1,https://www.youtube.com/watch?v=VH7tIAumRfg,GC - What Am I Doing in New Jersey?,1988,0:47:52,https://scrapsfromtheloft.com/2019/05/14/george-carlin-what-am-i-doing-in-new-jersey-transcript/
2,George,Carlin,Male,,White,1,https://www.youtube.com/watch?v=ZgE91UbAU3I,George Carlin - Back in Town,1996,0:49:00,https://scrapsfromtheloft.com/2017/04/10/george-carlin-back-town-1996-full-transcript/
3,Lenny,Bruce,Male,"October 13, 1925",White,1,https://www.youtube.com/watch?v=9wuNKs1_gC8,"Lenny Bruce - Complete Live Standup (Rare, 1965)",1965,1:00:03,
3,Lenny,Bruce,Male,"October 13, 1925",White,1,https://www.youtube.com/watch?v=Klrml3tI29E,The Berkeley Concert,1965,1:18:46,https://scrapsfromtheloft.com/2017/08/25/lenny-bruce-berkeley-concert-1965-full-transcript/
3,Lenny,Bruce,Male,"October 13, 1925",White,1,https://www.youtube.com/watch?v=ew2OJNFEisA,"LENNY BRUCE: ""What I Was Arrested For"" (full vinyl album, 1971)",1971,0:24:55,
3,Lenny,Bruce,Male,"October 13, 1925",White,1,https://www.youtube.com/watch?v=Bo750ByNnc8,Lenny Bruce - The Palladium (live),1959,0:21:00,
4,Louis,C.K.,Male,,White,1,https://www.youtube.com/watch?v=H4l1sO0Jq4o,Louis C.K Best Stand Up Comedy 2014 (HD) Ep.3,,,
4,Louis,C.K.,Male,,White,1,https://www.youtube.com/watch?v=aoXjM9PIvHE,Louis CK: Live at Comedy Cellar,,,
4,Louis,C.K.,Male,,White,1,https://www.youtube.com/watch?v=tBbC2krBopw,Louis C.K Live Comedy Special : Reason for Women || Louis C.K,,,
5,Chris,Rock,Male,,White,1,https://www.youtube.com/watch?v=coC4t7nCGPs,Chris Rock - Bring The Pain (1996) FULL SHOW [Stand Up Comedy],,,
5,Chris,Rock,Male,,White,1,https://www.youtube.com/watch?v=-amwAdRjk8k,Chris Rock Stand Up Comedy Full Show - Chris Rock Bigger And Blacker,,,
6,Joan,Rivers,Female,,White,1,https://www.youtube.com/watch?v=CY9XW6ymE18,Joan Rivers - What Becomes a Semi Legend Most (1983),,,
6,Joan,Rivers,Female,,White,1,https://www.youtube.com/watch?v=1M3ba7E5QZY,An Audience With Joan Rivers 1983,,,
6,Joan,Rivers,Female,,White,1,https://www.youtube.com/watch?v=jbp6JpMV3B4,"The Joan Rivers Comedy Hour (1981, most)",,,
6,Joan,Rivers,Female,,White,1,https://www.youtube.com/watch?v=vjDvX8WqqB4,Another Audience with Joan Rivers,,,
7,Jerry,Seinfeld,Male,,White,1,https://www.youtube.com/watch?v=VuTMc3MbbXo,Jerry Seinfeld LIVE CHICAGO Stand up,,,
7,Jerry,Seinfeld,Male,,White,1,https://www.youtube.com/watch?v=nQDJpZoCWmo,JERRY SEINFELD STAND-UP 1987,,,
7,Jerry,Seinfeld,Male,,White,1,https://www.youtube.com/watch?v=HQGUHwBb4Bw,Jerry Seinfeld I'm Telling You For The Last Time Full Show - Stand Up Comedy Central 2015,,,
